t,drawdown
361,-0.04479240222145753
362,-0.04624217323641289
363,-0.09258541965562284
364,-0.077401694477505
365,-0.07235498011658859
366,-0.07801287570230564
367,-0.07632598914202826
368,-0.07407375274682981
369,-0.06835853479143117
370,-0.05221699489494913
371,-0.044952665005759895
372,-0.034434860144557766
373,-0.05941654170452648
374,-0.06553908983566892
375,-0.08644563869740707
376,-0.08018810260228237
377,-0.07398692781672622
378,-0.0674304464479133
379,-0.071451054664456
380,-0.11089391492904166
381,-0.11119442219951747
382,-0.12857158781649636
383,-0.1503302607263276
384,-0.15471642346413705
385,-0.15185973856912816
386,-0.15871359544542962
387,-0.15677467197399542
388,-0.16586492445894596
389,-0.1559815403213577
390,-0.17053114422917304
391,-0.16597925557077275
392,-0.1871749714422738
393,-0.18029135701801102
394,-0.1987878783000796
395,-0.17300790662640275
396,-0.17040250907067722
397,-0.1654212130117565
398,-0.15246755840226067
399,-0.1354128127970463
400,-0.15332058898800305
401,-0.14274835246385142
402,-0.13873650824367945
403,-0.12679380256653117
404,-0.12237482843823577
405,-0.1258743292861635
406,-0.12563371153045255
407,-0.12307836696321106
408,-0.13133924631567173
409,-0.14301899369567095
410,-0.1377673392727049
411,-0.12416494377351994
412,-0.1317354037871764
413,-0.14550075335677026
414,-0.14626584319671754
415,-0.15960356239933715
416,-0.16515888487861397
417,-0.1678493107328629
418,-0.1789155580612889
419,-0.17639644027177048
420,-0.15315146364447252
421,-0.1401225646370784
422,-0.13044151871894138
423,-0.1253772508439328
424,-0.09997908386228105
425,-0.09401574792605161
426,-0.10721662563126755
427,-0.11651195621141242
428,-0.11194622325384906
429,-0.10182533702681518
430,-0.08935691643694688
431,-0.0973471592775993
432,-0.08554386859223417
433,-0.06644713943788805
434,-0.06331352573103233
435,-0.06245993980736764
436,-0.08036776192911566
437,-0.07319738512047769
438,-0.07067382449344461
439,-0.07445018854300167
440,-0.08153740457701175
441,-0.07488716119415761
442,-0.05379290304025752
443,-0.06433846850260616
444,-0.0464836946749837
445,-0.04703663931359292
446,-0.017384910156081457
447,-0.021972084469085607
448,-0.015362905814252481
449,-0.0494158224582979
450,-0.0716239557255659
451,-0.07918511632477176
452,-0.09338143498670337
453,-0.10359199072283198
454,-0.07210706401150047
455,-0.0816753692074963
456,-0.07084258076246375
457,-0.08714565349044645
458,-0.09344438535606503
459,-0.10853568717555429
460,-0.11023417553506432
461,-0.1191334832325961
462,-0.1333935865752468
463,-0.1492438471509544
464,-0.13529329598094542
465,-0.1426415755930912
466,-0.12300966573798822
467,-0.142259463693867
468,-0.13562674172249412
469,-0.14820712947919956
470,-0.16280559843203435
471,-0.1708164860982534
472,-0.1801337257890443
473,-0.202434568937766
474,-0.20725239137458684
475,-0.22695103681127748
476,-0.22403779967418413
477,-0.21815556425749072
478,-0.19660455427260737
479,-0.20213380538833636
480,-0.1931576886345635
481,-0.19034357437433858
482,-0.20825139828089845
483,-0.1940992640346767
484,-0.2024929517267724
485,-0.20965705160584325
486,-0.1869226708455305
487,-0.1592099932083758
488,-0.1426322156526525
489,-0.128270981963444
490,-0.12932977773608312
491,-0.12260519312878915
492,-0.13259164444275295
493,-0.13623585413521488
494,-0.10821513956897721
495,-0.10923045884669447
496,-0.10092225174721936
497,-0.08056203621390579
498,-0.08936875866491012
499,-0.08115264760461449
500,-0.053441185477759
501,-0.04120964972787411
502,-0.04357111361671373
503,-0.042087017428574125
504,-0.02829485509803953
505,-0.03830374083196564
506,-0.035477002837996485
507,-0.028554300528833565
508,-0.041154749938190904
509,-0.04974536481440117
510,-0.048403073374694516
511,-0.06235445929950001
512,-0.0416146241346973
513,-0.04994711491655657
514,-0.040211163968320585
515,-0.04199031890549554
516,-0.022297520583329233
517,-0.009576304219736098
518,-0.0031118623705780335
519,-0.004459392290507513
520,0.0
521,-0.01414908172070617
522,-0.016830438592536412
523,-0.014388866433025727
524,-0.006477064437125812
525,-0.0029346296541087336
526,-0.02792131139344156
527,-0.03286595993043773
528,-0.04179023010914529
529,-0.06471908857162834
530,-0.05824286577065296
531,-0.06722910565433915
532,-0.06270890343549751
533,-0.04275300281640526
534,-0.01651919195762408
535,-0.015819919956784667
536,-0.03180441340689033
537,-0.020988499729981958
538,-0.02722303797470149
539,-0.04623994025901512
540,-0.05522636905598455
541,-0.04724038626245475
542,-0.03504009414334286
543,-0.043461523336644436
544,-0.050095346629893456
545,-0.0736744696715651
546,-0.07280696968951506
547,-0.07928481380890673
548,-0.08361858079028406
549,-0.08222368977558436
550,-0.08817574787777427
551,-0.0872886325846951
552,-0.10536647905533947
553,-0.10982305748588006
554,-0.10270630898933575
555,-0.09497277630306955
556,-0.1031279536381724
557,-0.1117447724389693
558,-0.09803598212797027
559,-0.09766787758626427
560,-0.0847305116460082
561,-0.09590301000016666
562,-0.09942151904878738
563,-0.0875509434200542
564,-0.07442064549534133
565,-0.0669042962188996
566,-0.05503267946683721
567,-0.0602759956142811
568,-0.06627841289137903
569,-0.05853305571168077
570,-0.06224177243052298
571,-0.07431937545973044
572,-0.06878164580882906
573,-0.0859974658458944
574,-0.06308234274609525
575,-0.08517624473704466
576,-0.08208658499766508
577,-0.10965988015672201
578,-0.1100370739373897
579,-0.10681516746265463
580,-0.09159019336736951
581,-0.11615812261410385
582,-0.13760839613958065
583,-0.13418597260807152
584,-0.1405225309294602
585,-0.16078451039316044
586,-0.16417403332097702
587,-0.17446718901083136
588,-0.17631346056105424
589,-0.17130641436039873
590,-0.17315660578878989
591,-0.1722730497556446
592,-0.18428509168922724
593,-0.19218217680106953
594,-0.18669133118223136
595,-0.169374563038859
596,-0.15031322614716225
597,-0.13693272670968692
598,-0.16520308917801696
599,-0.16489865935979164
600,-0.17679327841174153
601,-0.19034835639945047
602,-0.1709294556403228
603,-0.14931577000574459
604,-0.1411137713487567
605,-0.13607508336743945
606,-0.11569422686421948
607,-0.10628915228739244
608,-0.11839899003496723
609,-0.1216883897470391
610,-0.11755158335520755
611,-0.12138582105954998
612,-0.12313234468847534
613,-0.11838405036216293
614,-0.13397907048041435
615,-0.14141402172603046
616,-0.15352792882304678
617,-0.14597827772926153
618,-0.13816037393989733
619,-0.11892525707134682
620,-0.10691106125549277
621,-0.10510460149296097
622,-0.09461510152553843
623,-0.05372978572174636
624,-0.05324983030992758
625,-0.07375068694381692
626,-0.07892091785758615
627,-0.04902844349065716
628,-0.06908310791015193
629,-0.07304999778717447
630,-0.05800650137565666
631,-0.038585100979315556
632,-0.018365284928616665
633,-0.013834814846361398
634,-0.026838923039708695
635,-0.011722812230031687
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,-0.005563463459947404
642,-0.007254564164365318
643,-0.01211707832947273
644,-0.008140323863716992
645,-0.0005589801733738575
646,-0.007897701281679326
647,-0.008325536505185527
648,0.0
649,-0.015033646868751749
650,-0.001856448508520292
651,-0.012969643536218545
652,-0.014207630361773527
653,-0.010556860807839352
654,0.0
655,-0.03668009123723592
656,-0.05064677327507994
657,-0.03763687828513751
658,-0.014205933314923369
659,-0.009972480864175237
660,-0.025053145650682174
661,-0.03095907069470727
662,-0.05964755920406073
663,-0.043872833905284736
664,-0.04196919739439453
665,-0.03292664510789567
666,-0.022980889368168
667,-0.04409796000980326
668,-0.05459351995498973
669,-0.06019049385404085
670,-0.0674632545322067
671,-0.04860963360233461
672,-0.05859124079665767
673,-0.07319005545923374
674,-0.08156745719556124
675,-0.08209585146057496
676,-0.08732909824770263
677,-0.09203988445135192
678,-0.059004311798843245
679,-0.07681498267795728
680,-0.1010217183970833
681,-0.09543698656590871
682,-0.08369102649772109
683,-0.08545319703565846
684,-0.08249561382109327
685,-0.07789662968038902
686,-0.08675144771211718
687,-0.08451446006615548
688,-0.08153752877781273
689,-0.0759067542958034
690,-0.07758917789803954
691,-0.06254115890828227
692,-0.06098503681627543
693,-0.07217278427844831
694,-0.08498712906981509
695,-0.08627994900478098
696,-0.09797938909189752
697,-0.10437268805230038
698,-0.13490693097728135
699,-0.14175857695253558
700,-0.15496092050062193
701,-0.1312627843192713
702,-0.12354500055010909
703,-0.10403520198859106
704,-0.08838470039857449
705,-0.06485715270598869
706,-0.0378670248498596
707,-0.058181804253966796
708,-0.05935090642471619
709,-0.08596541039957872
710,-0.08436135924965182
711,-0.09208881817034364
712,-0.10284058387734396
713,-0.09197986929050606
714,-0.0887475657058715
715,-0.07792581753978634
716,-0.09719861500146709
717,-0.10566435772254601
718,-0.10488019709226815
719,-0.118193868791028
720,-0.1351500088882871
721,-0.10861265461183334
722,-0.09678359090660893
723,-0.10367983332385167
724,-0.1143226510521067
725,-0.12621257487485837
726,-0.12409123952904844
727,-0.12952066934418194
728,-0.1542822534823297
729,-0.1368020364074436
730,-0.13021547372871267
731,-0.11482056789948702
732,-0.1126003588902953
733,-0.12615362139230757
734,-0.1369538175246836
735,-0.1419320105604015
736,-0.12465557771706204
737,-0.12203481648574077
738,-0.10978453324871906
739,-0.11503539793729933
740,-0.10665744853082648
741,-0.09771808461666875
742,-0.10442737761744936
743,-0.1143763477226275
744,-0.09450804325297779
745,-0.11212258739837666
746,-0.09847102737979496
747,-0.09919109108268065
748,-0.07701570846447714
749,-0.07211742885435779
750,-0.06606287772014996
751,-0.06530896525940466
752,-0.024136262860934843
753,-0.047353613231222
754,-0.029406306182908848
755,-0.04614470979467644
